,Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,minimal_salary,maximal_salary,average_salary,python,sql,power bi,excel,tableau
11,Data Analyst,,Bulb,"Fairfield, NJ",,1 to 50 employees,,Company - Private,,,Unknown / Non-Applicable,,37.0,66.0,51.5,True,True,False,True,True
12,DATA ANALYST,3.7,Montefiore Medical,"New York, NY","Bronx, NY",10000+ employees,1884.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),,37.0,66.0,51.5,False,False,False,True,False
13,Senior Data Analyst,3.0,Known,"New York, NY","New York, NY",201 to 500 employees,2004.0,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),,37.0,66.0,51.5,True,True,False,True,False
14,Investment Advisory Data Analyst,3.4,Advisor Group,"Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,2016.0,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),,37.0,66.0,51.5,False,True,False,True,False
15,Sustainability Data Analyst,3.6,CodeGreen Solutions,"New York, NY","New York, NY",1 to 50 employees,,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,,37.0,66.0,51.5,True,True,False,True,False
16,Data Analyst,3.8,Undertone,"New York, NY","New York, NY",201 to 500 employees,2001.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"DoubleClick, Specific Media, Collective",37.0,66.0,51.5,False,True,False,False,True
17,Clinical Data Analyst,3.8,NYSTEC,"New York, NY","Rome, NY",51 to 200 employees,1996.0,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),"KPMG, Accenture, Deloitte",37.0,66.0,51.5,True,True,False,False,False
18,DATA PROGRAMMER/ANALYST,3.9,"Education Development Center, Inc.","New York, NY","Waltham, MA",501 to 1000 employees,1958.0,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),,37.0,66.0,51.5,True,False,False,True,False
19,Data Analyst,4.9,Teachers Pay Teachers,"New York, NY","New York, NY",51 to 200 employees,2006.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,37.0,66.0,51.5,True,True,False,True,False
20,"Product Analyst, Data Science",4.4,Google,"New York, NY","Mountain View, CA",10000+ employees,1998.0,Company - Public,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",37.0,66.0,51.5,False,True,False,True,False
21,Data Science Analyst,,MUSIC & Entertain,"New York, NY","Marina del Rey, CA",Unknown,,Company - Public,,,Unknown / Non-Applicable,,37.0,66.0,51.5,True,True,False,False,True
22,Data Analyst - Intex Developer,3.3,Macquarie Group,"New York, NY","Sydney, Australia",10000+ employees,1969.0,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"Goldman Sachs, Commonwealth Bank of Australia, Deutsche Bank",37.0,66.0,51.5,True,False,False,True,False
23,Data Analyst,3.5,Andiamo,"New York, NY","Warren, MI",201 to 500 employees,,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),,37.0,66.0,51.5,True,True,False,True,True
24,Entry Level / Jr. Data Analyst,3.8,Dash Technologies Inc,"New York, NY","Columbus, OH",1 to 50 employees,,Unknown,,,Unknown / Non-Applicable,,37.0,66.0,51.5,False,True,False,True,False
25,Data Analyst,4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),,37.0,66.0,51.5,True,True,False,False,False
26,Data + Business Intelligence Analyst,5.0,Duolingo,"New York, NY","Pittsburgh, PA",201 to 500 employees,2011.0,Company - Private,Internet,Information Technology,$10 to $25 million (USD),,37.0,66.0,51.5,True,True,False,True,True
27,"Data Analyst, Product",4.8,Ro,"New York, NY","New York, NY",51 to 200 employees,2017.0,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,37.0,66.0,51.5,True,True,False,True,False
28,Data Analyst Entry Level,3.7,Endai,"New York, NY","New York, NY",1 to 50 employees,,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),,37.0,66.0,51.5,False,False,False,True,False
29,Data Analyst,4.7,BlueLabs,"New York, NY","Washington, DC",1 to 50 employees,,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,,37.0,66.0,51.5,True,True,False,True,False
30,Data Analyst,3.6,Revel,"Brooklyn, NY","Seattle, WA",51 to 200 employees,2005.0,Company - Private,Consulting,Business Services,$25 to $50 million (USD),,46.0,87.0,66.5,True,True,False,False,False
31,Data Analyst,3.6,NALLAS CORPORATION,"Jersey City, NJ","Newtown, PA",1 to 50 employees,,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),,46.0,87.0,66.5,False,False,False,False,False
32,Data Analyst,3.5,Pozent,"New York, NY","Piscataway, NJ",1 to 50 employees,,Contract,,,Less than $1 million (USD),,46.0,87.0,66.5,False,False,False,False,False
33,"Data Science Analyst, Capital Markets",3.2,SoFi,"New York, NY","San Francisco, CA",1001 to 5000 employees,2011.0,Company - Private,Lending,Finance,Unknown / Non-Applicable,,46.0,87.0,66.5,True,True,False,True,True
34,Data Analyst (Games),,Carr,"New York, NY",,,,,,,,,46.0,87.0,66.5,True,True,False,False,True
35,Analyst/Associate Global Markets Credit Data Analyst,3.7,Bank of America,"New York, NY","Charlotte, NC",10000+ employees,1904.0,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),,46.0,87.0,66.5,False,False,False,True,True
36,Data Business Analyst,,Clear St,"New York, NY","New York, NY",51 to 200 employees,2018.0,Company - Public,,,$1 to $5 million (USD),,46.0,87.0,66.5,True,True,False,True,False
37,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,3.6,Nutech Information Systems,"New York, NY","Westmont, IL",1 to 50 employees,,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),,46.0,87.0,66.5,False,False,True,True,False
38,Data Science Analyst/Engineer,4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,1841.0,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",46.0,87.0,66.5,True,True,False,True,False
39,Data Analyst,4.6,The Trevor Project,"New York, NY","West Hollywood, CA",51 to 200 employees,,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),,46.0,87.0,66.5,True,True,False,True,True
40,"Business Analyst, Data Platforms",,P,"New York, NY","New York, NY",1 to 50 employees,,Company - Private,,,Unknown / Non-Applicable,,46.0,87.0,66.5,False,True,False,True,True
41,Behavioral Data Analyst,,AB I,"New York, NY","Kyiv, Ukraine",1001 to 5000 employees,,Company - Public,,,Unknown / Non-Applicable,,46.0,87.0,66.5,True,True,False,False,False
42,Data Analyst,5.0,Whip Media Group,"New York, NY","Santa Monica, CA",51 to 200 employees,2016.0,Company - Private,,,Unknown / Non-Applicable,,46.0,87.0,66.5,False,False,False,True,False
43,Data Analyst -1+ year Contract - NYC,4.0,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 employees,,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),,46.0,87.0,66.5,False,False,False,False,False
44,Data Analyst,3.0,Vettery,"New York, NY","New York, NY",201 to 500 employees,2013.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Hired, Indeed, AngelList",46.0,87.0,66.5,True,True,False,True,False
45,Data Analyst,2.9,"Nesco Resource, LLC","New York, NY","Cleveland, OH",1001 to 5000 employees,1956.0,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),,46.0,87.0,66.5,False,True,True,True,False
46,Advertising Data Analyst,4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),,46.0,87.0,66.5,False,True,True,False,True
47,Data Analyst,3.6,MediaMath,"New York, NY","New York, NY",501 to 1000 employees,2007.0,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Criteo, AppNexus, dataxu",46.0,87.0,66.5,True,True,False,True,False
48,Market Data Reporting Analyst,4.9,Jordan & Jordan,"New York, NY","New York, NY",1 to 50 employees,1990.0,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,,46.0,87.0,66.5,False,True,False,True,False
49,"Senior Analyst, Data Science",3.9,Roku,"New York, NY","San Jose, CA",1001 to 5000 employees,2002.0,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),,46.0,87.0,66.5,True,True,False,False,True
50,"Senior Data Analyst, Disney+",4.0,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,1923.0,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",46.0,87.0,66.5,True,True,False,False,True
51,"Office of the CAO | Reference Data, Project Manager/Business Analyst",3.8,Citadel,"New York, NY","Chicago, IL",1001 to 5000 employees,1990.0,Company - Private,,,$50 to $100 million (USD),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",46.0,87.0,66.5,True,True,False,False,True
52,Business Data Analyst,3.7,Xoriant Corporation,"Jersey City, NJ","Sunnyvale, CA",1001 to 5000 employees,1990.0,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"Persistent Systems (India), GlobalLogic, Synechron",46.0,87.0,66.5,False,True,False,True,True
53,Senior Data Analyst,3.6,Gemini,"New York, NY","New York, NY",51 to 200 employees,2015.0,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,,46.0,87.0,66.5,True,True,False,True,False
54,Data Scientist / Big Data Analytics Analyst,3.6,"TSR, Inc.","Weehawken, NJ","Hauppauge, NY",201 to 500 employees,1969.0,Company - Public,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),,46.0,87.0,66.5,True,False,False,True,True
55,Data Reporting Analyst,,NADAP NYS ,"New York, NY",,,,,,,,,46.0,87.0,66.5,False,False,False,True,False
56,"Principal Data Analyst, LATAM - Disney Streaming Services",4.0,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,1923.0,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",46.0,87.0,66.5,True,True,False,True,True
57,Data Analyst II,3.2,Fragomen Worldwide,"New York, NY","New York, NY",1001 to 5000 employees,1951.0,Company - Private,Legal,Accounting & Legal,$500 million to $1 billion (USD),,46.0,87.0,66.5,False,False,False,True,True
58,"Data Analyst - Environmental, Social, and Governance",3.8,Bloomberg,"New York, NY","New York, NY",10000+ employees,1981.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",46.0,87.0,66.5,True,True,False,True,True
59,Data Analyst,3.9,Real Capital Analytics,"New York, NY","New York, NY",51 to 200 employees,2000.0,Company - Private,Real Estate,Real Estate,$25 to $50 million (USD),,46.0,87.0,66.5,True,True,False,True,True
60,"Data Analyst, Revenue Analytics",4.8,Ro,"New York, NY","New York, NY",51 to 200 employees,2017.0,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,51.0,88.0,69.5,False,True,False,False,False
61,Data Analyst - Data Acquisition / Data Lineage,3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998.0,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),,51.0,88.0,69.5,False,True,False,False,False
62,Data Analyst - Data Scanning utilizing Rochade,3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998.0,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),,51.0,88.0,69.5,False,True,False,False,False
63,Data Analyst - Stitching,3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998.0,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),,51.0,88.0,69.5,False,False,False,False,False
64,Junior Data Analyst,4.1,Kforce,"New York, NY","Tampa, FL",10000+ employees,1966.0,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),,51.0,88.0,69.5,True,True,False,True,True
65,"Data Analyst, Retail Media",3.9,Criteo,"New York, NY","Paris, France",1001 to 5000 employees,2005.0,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus",51.0,88.0,69.5,True,True,False,False,True
66,Data Analyst,3.0,Royal Communications,"New York, NY","New York, NY",1 to 50 employees,,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),,51.0,88.0,69.5,False,True,False,True,False
67,Portfolio Data Analyst,3.7,Neuberger Berman,"New York, NY","New York, NY",1001 to 5000 employees,1939.0,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),"Fidelity Investments, BlackRock, Putnam Investments",51.0,88.0,69.5,False,False,False,True,True
68,Data Science Analyst,,Greater New York Mutual Insurance Companies (,"New York, NY",,,,,,,,,51.0,88.0,69.5,True,True,False,False,False
69,Data/Reporting Analyst,3.9,Diverse Lynx,"New York, NY","Princeton, NJ",501 to 1000 employees,2002.0,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),,51.0,88.0,69.5,True,True,False,True,True
70,Data Analyst 2,3.7,eTeam Inc.,"New York, NY","South Plainfield, NJ",51 to 200 employees,1999.0,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Artech Information Systems, Mindlance, Tech Mahindra",51.0,88.0,69.5,False,True,True,True,False
71,Entry Level Data Analyst,,impakt Advi,"New York, NY","New York, NY",1 to 50 employees,,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,,51.0,88.0,69.5,False,True,False,True,True
72,Marketing Data Analyst,3.6,Current,"New York, NY","Colorado Springs, CO",201 to 500 employees,,Company - Public,,,Unknown / Non-Applicable,,51.0,88.0,69.5,True,True,False,False,False
73,Data/Information Mgt Analyst,3.7,Citi,"New York, NY","New York, NY",10000+ employees,1812.0,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,51.0,88.0,69.5,True,False,False,True,False
74,Business Data Analyst,3.6,Axelon Services Corporation,"New York, NY","New York, NY",501 to 1000 employees,,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),,51.0,88.0,69.5,True,True,False,True,False
75,Information Systems Officer (Data Analyst),4.1,United Nations,"New York, NY","New York, NY",10000+ employees,1945.0,Government,Federal Agencies,Government,Unknown / Non-Applicable,,51.0,88.0,69.5,True,True,True,False,True
76,Media Science Big Data Analyst,3.5,"Discovery Communications, Inc.","New York, NY","New York, NY",10000+ employees,1985.0,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),,51.0,88.0,69.5,True,True,False,False,True
77,Data Analyst,3.7,Randstad,"Jersey City, NJ","Atlanta, GA",1001 to 5000 employees,,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,51.0,88.0,69.5,False,True,False,False,False
78,Data Analyst,5.0,Mulberry Technology,"New York, NY","New York, NY (US), NY",1 to 50 employees,,Company - Private,,,Unknown / Non-Applicable,,51.0,88.0,69.5,True,True,False,True,True
79,Data analyst with Python,4.0,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 employees,,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),,51.0,88.0,69.5,True,True,False,True,False
80,Data Analyst,4.8,SoftStandard Solutions,"New York, NY","Fremont, CA",51 to 200 employees,,Company - Private,,,Unknown / Non-Applicable,,51.0,88.0,69.5,False,True,False,False,False
81,Data Analyst,5.0,"EDO, Inc.","New York, NY","Los Angeles, CA",1 to 50 employees,,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,51.0,88.0,69.5,True,True,False,False,False
82,"Healthcare Data Analyst, Qsight",3.3,Guidepoint,"New York, NY","New York, NY",501 to 1000 employees,2003.0,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Coleman Research, AlphaSights, Third Bridge",51.0,88.0,69.5,True,True,False,True,True
83,BA/Data Analyst,4.1,Mitchell Martin,"New York, NY","New York, NY",501 to 1000 employees,1984.0,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),,51.0,88.0,69.5,False,True,False,True,True
84,Data Analyst Python,4.0,Lorven Technologies Inc,"New York, NY","Plainsboro, NJ",1 to 50 employees,,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),,51.0,88.0,69.5,True,True,False,False,False
85,"Data Analyst, Bitcoin Trading Firm",,Fintech Recrui,"New York, NY","Dublin, Ireland",Unknown,,Company - Private,,,Unknown / Non-Applicable,,51.0,88.0,69.5,False,True,True,False,True
86,Data Analyst-BA,1.0,Sphinix Network Solutions Inc.,"New York, NY","New York, NY",1 to 50 employees,,Company - Private,IT Services,Information Technology,Less than $1 million (USD),,51.0,88.0,69.5,False,True,False,False,False
87,Data Analytics Solutions Analyst,3.1,Praescient Analytics,"New York, NY","Alexandria, VA",51 to 200 employees,2011.0,Company - Private,Consulting,Business Services,$10 to $25 million (USD),,51.0,88.0,69.5,True,True,False,True,True
88,Quantitative Data Analyst,4.5,Global Atlantic Financial Group,"New York, NY","New York, NY",1001 to 5000 employees,2004.0,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,,51.0,88.0,69.5,True,True,False,False,False
89,Data Analyst,3.4,FINRA,"New York, NY","Washington, DC",1001 to 5000 employees,2007.0,Nonprofit Organization,Brokerage Services,Finance,$500 million to $1 billion (USD),,51.0,88.0,69.5,False,True,False,True,False
90,Data Analyst,,NYU Langone Medical Ce,"New York, NY",,,,,,,,,51.0,87.0,69.0,False,False,False,True,False
91,"Descriptive Analytics Data Analyst, IB",3.6,Jefferies,"New York, NY","New York, NY",1001 to 5000 employees,1962.0,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),,51.0,87.0,69.0,True,True,True,True,False
92,Data Analyst,4.1,RGP,"New York, NY","Irvine, CA",1001 to 5000 employees,1996.0,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),"Deloitte, Huron Consulting Group, Point B",51.0,87.0,69.0,False,True,False,True,True
93,Data Analyst,4.4,Tachyon Technologies,"New York, NY","Irving, TX",201 to 500 employees,2011.0,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),,51.0,87.0,69.0,True,True,False,False,True
94,Data Analyst,3.8,Apex Systems,"Jersey City, NJ","Glen Allen, VA",1001 to 5000 employees,1995.0,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture",51.0,87.0,69.0,True,True,False,True,False
95,Data Analyst,3.2,Hagerty Consulting,"New York, NY","Evanston, IL",1 to 50 employees,,Company - Private,Consulting,Business Services,$1 to $5 million (USD),,51.0,87.0,69.0,False,True,True,True,True
96,Data Analyst,,Gainful He,"New York, NY","San Mateo, CA",1 to 50 employees,,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable,,51.0,87.0,69.0,True,True,False,True,False
97,Business Data Analyst,3.8,Cortex consultants LLC,"New York, NY","North Brunswick, NJ",501 to 1000 employees,,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,,51.0,87.0,69.0,False,False,False,False,False
98,Data Analyst,4.7,Medly Pharmacy,"Brooklyn, NY","Brooklyn, NY",201 to 500 employees,2017.0,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,51.0,87.0,69.0,False,False,False,True,False
99,Healthcare Data Analyst,2.3,Fair Health,"New York, NY","New York, NY",1 to 50 employees,,Nonprofit Organization,,,$10 to $25 million (USD),,51.0,87.0,69.0,False,True,False,True,True
100,Supply Chain Data Analyst,3.8,Peloton Interactive,"New York, NY","New York, NY",1001 to 5000 employees,2012.0,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,,51.0,87.0,69.0,True,True,False,True,True
101,Data Analyst - IBM Tool Set,4.6,ektello,"New York, NY","Troy, MI",201 to 500 employees,2011.0,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),,51.0,87.0,69.0,True,True,False,False,False
102,Analyst-Data Integrity,3.0,"Premier, Inc.","New York, NY","Charlotte, NC",1001 to 5000 employees,1967.0,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),,51.0,87.0,69.0,False,False,False,True,False
103,"Reference Data Operations Analyst - Index Instrument, Associate",3.9,JPMorgan Chase,"New York, NY","New York, NY",10000+ employees,1799.0,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,51.0,87.0,69.0,True,False,False,True,False
104,Data Analyst,3.0,Fund for Public Health,"Long Island City, NY","New York, NY",201 to 500 employees,,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),,51.0,87.0,69.0,False,True,False,True,False
105,Data & Service Health Analyst,4.2,BlueVoyant,"New York, NY","New York, NY",51 to 200 employees,,Company - Private,,,Unknown / Non-Applicable,,51.0,87.0,69.0,True,False,False,False,False
106,Data/Systems Analyst,5.0,Crossfire Consulting Corporation,"New York, NY","Yorktown Heights, NY",51 to 200 employees,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),,51.0,87.0,69.0,False,True,False,True,False
107,Data Analyst,4.0,Reliable Software Resources,"New York, NY","Northville, MI",501 to 1000 employees,2004.0,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),,51.0,87.0,69.0,False,True,False,False,False
108,Data Analyst,,Hyde Leadership Broo,"Brooklyn, NY","Brooklyn, NY",51 to 200 employees,,School / School District,,,Unknown / Non-Applicable,,51.0,87.0,69.0,False,False,False,True,False
109,Data Analyst,,Vertex Intel Sys,"Jersey City, NJ",,,,,,,,,51.0,87.0,69.0,False,False,False,False,False
110,Data Analyst Intern,3.6,My Job Tank,"Jersey City, NJ","New York, NY",51 to 200 employees,,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,,51.0,87.0,69.0,False,False,False,False,False
111,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",3.7,Cowen,"New York, NY","New York, NY",501 to 1000 employees,1918.0,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),"Jefferies, Piper Sandler, FBR",51.0,87.0,69.0,True,False,False,False,False
112,Data Reporting Analyst,3.5,Robert Half,"New York, NY","Menlo Park, CA",10000+ employees,1948.0,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",51.0,87.0,69.0,True,True,False,True,False
113,Data Analyst,2.8,FJA-US Inc.,"New York, NY","New York, NY",51 to 200 employees,1994.0,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),"Ibotta, GutCheck",51.0,87.0,69.0,False,False,False,True,False
114,Data Analyst,5.0,Averity,"New York, NY","New York, NY",1 to 50 employees,2014.0,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,51.0,87.0,69.0,False,True,False,False,True
115,Data Analyst,3.8,Capgemini,"Jersey City, NJ","Paris, France",10000+ employees,1967.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",51.0,87.0,69.0,False,True,False,True,False
116,ERP Data Analyst,3.4,Wildlife Conservation Society,"New York, NY","Bronx, NY",1001 to 5000 employees,1895.0,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),,51.0,87.0,69.0,False,False,False,True,False
117,Data Analyst,3.6,Asembia,"Florham Park, NJ","Florham Park, NJ",501 to 1000 employees,2004.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),,51.0,87.0,69.0,False,True,False,True,False
118,Healthcare Data/Reporting Analyst,,Vesta Health,"New York, NY","New York, NY",1 to 50 employees,2018.0,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,51.0,87.0,69.0,True,True,False,True,True
119,PBM Data Analyst,3.2,1199SEIU Funds,"New York, NY","New York, NY",1001 to 5000 employees,,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),,51.0,87.0,69.0,False,True,False,True,False
120,Data Analyst (Temporary Assignment),3.8,Nutrafol,"New York, NY","New York, NY",51 to 200 employees,,Other Organization,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,,59.0,85.0,72.0,False,True,False,True,True
121,Data Analyst,3.5,New York Life Insurance Co,"New York, NY","New York, NY",10000+ employees,1845.0,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),,59.0,85.0,72.0,True,True,False,True,False
122,Market Data Analyst,3.5,"EDP World, Inc.","New York, NY","New York, NY",1 to 50 employees,1968.0,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),,59.0,85.0,72.0,False,False,False,False,False
123,Data Analyst,4.1,Phyton Talent Advisors,"Jersey City, NJ","New York, NY",1 to 50 employees,,Company - Private,,,Unknown / Non-Applicable,,59.0,85.0,72.0,False,False,False,False,False
